Rank,Country,Rating
1,Spain,2150
2,Argentina,2140
3,France,2031
4,England,2012
5,Brazil,1994
6,Germany,1988
6,Portugal,1988
8,Netherlands,1967
9,Colombia,1953
10,Uruguay,1922
11,Italy,1914
12,Croatia,1912
13,Ecuador,1911
14,Japan,1875
15,Denmark,1862
16,Belgium,1844
16,Serbia,1844
18,Turkey,1837
18,Austria,1837
20,Greece,1830
21,Iran,1829
22,Norway,1828
23,Mexico,1817
24,Switzerland,1812
25,Ukraine,1809
26,Morocco,1807
27,Paraguay,1799
28,Russia,1790
29,Canada,1779
30,Senegal,1759
31,Czechia,1756
32,South Korea,1745
33,Slovenia,1744
34,Scotland,1743
34,Venezuela,1743
36,Sweden,1737
36,Wales,1737
38,Australia,1736
39,Peru,1725
40,Panama,1724
41,United States,1723
42,Chile,1722
43,Hungary,1716
43,Georgia,1716
45,Algeria,1711
46,Poland,1705
47,Uzbekistan,1696
48,Romania,1685
