format,rho,err,dead_pct
FIFA2026,0.6418553730651345,5.5,13.88888888888889
FIFA2026,0.7447745275231596,4.5625,11.11111111111111
FIFA2026,0.848918282233439,4.1875,8.333333333333334
FIFA2026,0.6326886296623191,5.4375,6.944444444444445
FIFA2026,0.5155376489743383,7.0,9.722222222222221
FIFA2026,0.4621872023699526,7.125,8.333333333333334
FIFA2026,0.5476212508841922,6.9375,9.722222222222221
FIFA2026,0.659761697611937,5.5,11.11111111111111
FIFA2026,0.811331187663708,4.375,15.277777777777779
FIFA2026,0.7463562478572301,4.75,13.88888888888889
FIFA2026,0.7351728209057953,4.625,13.88888888888889
FIFA2026,0.7139059762112636,5.0625,11.11111111111111
FIFA2026,0.7346228163016264,4.75,8.333333333333334
FIFA2026,0.8135314078336434,4.125,9.722222222222221
FIFA2026,0.4728639848553,6.75,11.11111111111111
FIFA2026,0.6825557137736349,5.375,12.5
FIFA2026,0.7993400247255033,4.5,15.277777777777779
FIFA2026,0.7706271145199015,5.125,9.722222222222221
FIFA2026,0.6959391591417454,5.5,12.5
FIFA2026,0.7677360348982474,4.875,9.722222222222221
FIFA2026,0.6871390854750427,5.4375,9.722222222222221
FIFA2026,0.6861019896582136,5.375,11.11111111111111
FIFA2026,0.6042717251135914,6.8125,9.722222222222221
FIFA2026,0.7150059854196014,5.3125,12.5
FIFA2026,0.7632230557184104,5.0,9.722222222222221
FIFA2026,0.3751375389739992,7.75,9.722222222222221
FIFA2026,0.7000367174011383,5.4375,12.5
FIFA2026,0.625229231623332,5.9375,9.722222222222221
FIFA2026,0.7268060628020199,5.125,8.333333333333334
FIFA2026,0.6403299832615994,5.9375,12.5
FIFA2026,0.7296727748641061,4.8125,12.5
FIFA2026,0.8316069615034134,4.1875,12.5
FIFA2026,0.7329728024891197,5.4375,13.88888888888889
FIFA2026,0.77367314319762,4.375,9.722222222222221
FIFA2026,0.6308552809817561,5.5,13.88888888888889
FIFA2026,0.7067559163570676,5.5,5.555555555555555
FIFA2026,0.6440553914818102,5.8125,9.722222222222221
FIFA2026,0.765493267456719,4.375,9.722222222222221
FIFA2026,0.5825847943903129,6.625,6.944444444444445
FIFA2026,0.7019892097876036,5.5,8.333333333333334
FIFA2026,0.5932716330302129,5.875,11.11111111111111
FIFA2026,0.6567657207257406,6.25,11.11111111111111
FIFA2026,0.5867253786494611,6.4375,11.11111111111111
FIFA2026,0.7044913042296955,5.1875,11.11111111111111
FIFA2026,0.7906124477301489,4.9375,9.722222222222221
FIFA2026,0.8083975607704607,4.125,9.722222222222221
FIFA2026,0.7162893294959957,5.5,9.722222222222221
FIFA2026,0.8054639338772135,4.0625,12.5
FIFA2026,0.8474514687868154,3.875,12.5
FIFA2026,0.7953066576282645,4.25,8.333333333333334
Playoff,0.4246035544184094,8.0625,0.0
Playoff,0.39270328737661186,8.1875,0.0
Playoff,0.4097534301058485,8.0625,0.0
Playoff,0.4211201919253396,8.0,0.0
Playoff,0.4202035175850581,8.125,0.0
Playoff,0.41378679720308725,8.0625,0.0
Playoff,0.40828675116139806,8.0625,0.0
Playoff,0.41305345773086205,8.3125,0.0
Playoff,0.41690348996004456,8.125,0.0
Playoff,0.41067010444613006,8.125,0.0
Playoff,0.4211201919253396,8.0625,0.0
Playoff,0.41488680641142517,8.25,0.0
Playoff,0.4187368386406076,8.125,0.0
Playoff,0.420753522189227,8.125,0.0
Playoff,0.41232011825863685,8.125,0.0
Playoff,0.41048676957807373,8.125,0.0
Playoff,0.4031533748558214,8.1875,0.0
Playoff,0.42295354060590273,8.0,0.0
Playoff,0.4053533932724972,8.0625,0.0
Playoff,0.4163534853558756,8.0625,0.0
Playoff,0.4273535774392541,8.0,0.0
Playoff,0.41048676957807373,8.125,0.0
Playoff,0.4013200261752583,8.375,0.0
Playoff,0.4002200169669205,8.25,0.0
Playoff,0.4214868616614522,8.0,0.0
Playoff,0.4202035175850581,8.125,0.0
Playoff,0.4035200445919341,8.125,0.0
Playoff,0.41488680641142517,8.1875,0.0
Playoff,0.4042533840641593,8.1875,0.0
Playoff,0.41488680641142517,8.0625,0.0
Playoff,0.4178201643003261,8.0625,0.0
Playoff,0.4132367925989183,8.0625,0.0
Playoff,0.4273535774392541,8.0,0.0
Playoff,0.4086534208975107,8.125,0.0
Playoff,0.41232011825863685,8.125,0.0
Playoff,0.4132367925989183,8.0625,0.0
Playoff,0.40553672814055347,8.0,0.0
Playoff,0.4222202011336774,8.0625,0.0
Playoff,0.41525347614753777,8.0625,0.0
Playoff,0.4222202011336774,8.0625,0.0
Playoff,0.4273535774392541,8.0,0.0
Playoff,0.42167019652950855,8.0625,0.0
Playoff,0.4178201643003261,8.125,0.0
Playoff,0.39930334262663897,8.3125,0.0
Playoff,0.41928684324477655,8.0,0.0
Playoff,0.4214868616614522,8.0625,0.0
Playoff,0.4218535313975648,8.0625,0.0
Playoff,0.41195344852252425,8.0,0.0
Playoff,0.41048676957807373,8.1875,0.0
Playoff,0.40828675116139806,8.125,0.0
Swiss8R,0.6097931789242814,9.708333333333334,0.0
Swiss8R,0.7442592791820438,7.291666666666667,0.0
Swiss8R,0.4587156024134406,11.5,0.0
Swiss8R,0.5834102460517451,9.875,0.0
Swiss8R,0.5624559001900188,10.291666666666666,0.0
Swiss8R,0.5344986770843475,10.458333333333334,0.0
Swiss8R,0.6518647282580586,8.791666666666666,0.0
Swiss8R,0.3783182287833453,12.541666666666666,0.0
Swiss8R,0.548395859832021,10.5,0.0
Swiss8R,0.5599587501650461,11.0,0.0
Swiss8R,0.5790673764430971,10.083333333333334,0.0
Swiss8R,0.5208729236872145,11.0,0.0
Swiss8R,0.6484990043113564,9.041666666666666,0.0
Swiss8R,0.4615927535291699,11.666666666666666,0.0
Swiss8R,0.5996417212140669,9.166666666666666,0.0
Swiss8R,0.5188100606231068,10.791666666666666,0.0
Swiss8R,0.645513281455411,9.208333333333334,0.0
Swiss8R,0.43645839566911976,11.833333333333334,0.0
Swiss8R,0.6563704554770309,9.208333333333334,0.0
Swiss8R,0.5717930698486118,10.083333333333334,0.0
Swiss8R,0.48336138744251783,11.125,0.0
Swiss8R,0.48368710266316645,11.75,0.0
Swiss8R,0.558818746892776,10.208333333333334,0.0
Swiss8R,0.5509472957271015,10.541666666666666,0.0
Swiss8R,0.5151729073258641,11.125,0.0
Swiss8R,0.5215243541285117,10.791666666666666,0.0
Swiss8R,0.4764670819387891,11.541666666666666,0.0
Swiss8R,0.6458389966760595,8.833333333333334,0.0
Swiss8R,0.5116986116389457,10.75,0.0
Swiss8R,0.6367189704978988,9.208333333333334,0.0
Swiss8R,0.45589273716781936,11.75,0.0
Swiss8R,0.5212529247779712,10.458333333333334,0.0
Swiss8R,0.6767819426376762,8.625,0.0
Swiss8R,0.5116443257688376,10.625,0.0
Swiss8R,0.5982845744613644,9.75,0.0
Swiss8R,0.47158135362906023,10.708333333333334,0.0
Swiss8R,0.5474187141700751,10.25,0.0
Swiss8R,0.4912328386081922,10.958333333333334,0.0
Swiss8R,0.6049617364846606,9.625,0.0
Swiss8R,0.4707127797073306,11.458333333333334,0.0
Swiss8R,0.6512132978167614,8.958333333333334,0.0
Swiss8R,0.635687538965845,9.083333333333334,0.0
Swiss8R,0.7369306867174504,7.666666666666667,0.0
Swiss8R,0.5213614965181874,10.666666666666666,0.0
Swiss8R,0.5039357322134875,10.791666666666666,0.0
Swiss8R,0.5956245668260676,9.791666666666666,0.0
Swiss8R,0.5470387130793185,10.583333333333334,0.0
Swiss8R,0.5068128833292167,10.833333333333334,0.0
Swiss8R,0.5488844326629938,10.291666666666666,0.0
Swiss8R,0.633570390031629,9.458333333333334,0.0
